RetractionYear,Reason,count
2011,+Duplicate Publication through Error by Journal/Publisher;,9
2011,+Investigation by Company/Institution;+Investigation by Third Party;+Lack of IRB/IACUC Approval;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,8
2011,+Temporary Removal;+Withdrawn (out of date);,8
2011,+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Investigation by Journal/Publisher;+Plagiarism of Text;,6
2011,+Concerns/Issues About Data;+Ethical Violations by Author;+Investigation by Company/Institution;+Investigation by Third Party;+Lack of IRB/IACUC Approval;,5
2011,+Duplication of Article;+Euphemisms for Duplication;,5
2011,+Duplication of Data;+Duplication of Image;,5
2011,+Error in Image;,5
2011,+Euphemisms for Plagiarism;+Plagiarism of Article;,5
2011,+Breach of Policy by Author;+Duplication of Data;+Duplication of Image;+Falsification/Fabrication of Data;+Investigation by Company/Institution;,4
2011,+Ethical Violations by Author;+Investigation by Company/Institution;+Investigation by Third Party;+Lack of IRB/IACUC Approval;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,4
2011,+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Notice - Limited or No Information;,4
2011,+Notice - Limited or No Information;+Removed;,4
2011,+Results Not Reproducible;,4
2011,+Retract and Replace;+Removed;,4
2011,+Breach of Policy by Author;,3
2011,+Breach of Policy by Author;+Duplication of Article;+Concerns/Issues about Referencing/Attributions;,3
2011,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues about Referencing/Attributions;+Lack of Approval from Author;+Upgrade/Update of Prior Notice;,3
2011,+Concerns/Issues About Authorship/Affiliation;+Copyright Claims;,3
2011,+Concerns/Issues About Data;+Date of Retraction/Other Unknown;+Results Not Reproducible;+Removed;,3
2011,+Concerns/Issues About Data;+Ethical Violations by Author;+Lack of Approval from Author;+Objections by Author(s);,3
2011,+Concerns/Issues About Data;+Investigation by Company/Institution;+Objections by Third Party;+Results Not Reproducible;,3
2011,+Concerns/Issues About Results;+Removed;,3
2011,+Concerns/Issues about Referencing/Attributions;+Lack of Approval from Third Party;,3
2011,+Date of Retraction/Other Unknown;+Notice - Lack of;+Notice - Unable to Access via current resources;,3
2011,+Date of Retraction/Other Unknown;+Plagiarism of Article;,3
2011,+Duplication of Article;+Investigation by Journal/Publisher;,3
2011,+Duplication of Data;,3
2011,+Duplication of Image;+Duplication of Text;+Euphemisms for Duplication;,3
2011,+Duplication of Image;+Euphemisms for Duplication;,3
2011,+Duplication of Image;+Euphemisms for Duplication;+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,3
2011,+Error in Image;+Miscommunication by Author;+Objections by Author(s);,3
2011,+Error in Materials;,3
2011,+Ethical Violations by Author;+Manipulation of Images;,3
2011,+Euphemisms for Plagiarism;+Plagiarism of Text;,3
2011,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Unreliable Results;,3
2011,+Objections by Third Party;+Plagiarism of Image;,3
2011,+Author Unresponsive;+Complaints about Author;+False/Forged Authorship;+Lack of Approval from Author;+Misconduct by Author;+Plagiarism of Data;+Plagiarism of Text;,2
2011,+Bias Issues or Lack of Balance;+Unreliable Results;,2
2011,+Breach of Policy by Author;+Duplication of Data;+Duplication of Image;+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Objections by Author(s);,2
2011,+Breach of Policy by Author;+Duplication of Image;,2
2011,+Concerns/Issues About Data;+False/Forged Authorship;+Objections by Author(s);,2
2011,+Concerns/Issues about Referencing/Attributions;+Duplication of Article;,2
2011,+Concerns/Issues about Referencing/Attributions;+Duplication of Image;,2
2011,+Concerns/Issues about Referencing/Attributions;+Euphemisms for Plagiarism;+Plagiarism of Text;,2
2011,+Date of Retraction/Other Unknown;+Investigation by Journal/Publisher;+Notice - Limited or No Information;,2
2011,+Date of Retraction/Other Unknown;+Lack of Approval from Author;,2
2011,+Date of Retraction/Other Unknown;+Notice - Limited or No Information;,2
2011,+Date of Retraction/Other Unknown;+Plagiarism of Article;+Removed;,2
2011,+Duplication of Article;+Euphemisms for Duplication;+Euphemisms for Plagiarism;+Plagiarism of Text;,2
2011,+Duplication of Article;+False Affiliation;,2
2011,+Duplication of Article;+Investigation by Journal/Publisher;+Misconduct by Author;,2
2011,+Duplication of Data;+Euphemisms for Duplication;,2
2011,+Duplication of Image;+Investigation by Company/Institution;+Manipulation of Images;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,2
2011,+Error in Analyses;+Error in Data;+Error in Methods;,2
2011,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;,2
2011,+Error in Analyses;+Error in Results and/or Conclusions;+Investigation by Third Party;+Unreliable Results;,2
2011,+Error in Methods;+Results Not Reproducible;,2
2011,+Euphemisms for Plagiarism;+Plagiarism of Image;+Plagiarism of Text;,2
2011,+Falsification/Fabrication of Data;+Investigation by Company/Institution;,2
2011,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,2
2011,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Misconduct by Author;,2
2011,+Falsification/Fabrication of Image;+Manipulation of Images;,2
2011,+Falsification/Fabrication of Results;+Investigation by Company/Institution;+Investigation by Journal/Publisher;,2
2011,+Falsification/Fabrication of Results;+Misconduct by Author;,2
2011,+Lack of Approval from Company/Institution;+Lack of IRB/IACUC Approval;,2
2011,+Manipulation of Images;+Manipulation of Results;,2
2011,+Manipulation of Images;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Results Not Reproducible;,2
2011,+Notice - Limited or No Information;+Taken via Peer Review;,2
2011,+Removed;,2
2011,+Retract and Replace;+Withdrawn (out of date);,2
2011,+Unreliable Data;+Unreliable Results;,2
2011,+Breach of Policy by Author;+Concerns/Issues About Data;+Ethical Violations by Author;+Investigation by Company/Institution;,1
2011,+Breach of Policy by Author;+Contamination of Materials (General);+Date of Retraction/Other Unknown;+Notice - Limited or No Information;,1
2011,+Breach of Policy by Author;+Criminal Proceedings;+Notice - Limited or No Information;,1
2011,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Lack of;,1
2011,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Removed;,1
2011,+Breach of Policy by Author;+Doing the Right Thing;+Notice - Limited or No Information;,1
2011,+Breach of Policy by Author;+Duplication of Article;,1
2011,+Breach of Policy by Author;+Investigation by Journal/Publisher;+Removed;,1
2011,+Breach of Policy by Author;+Notice - Limited or No Information;+Removed;,1
2011,+Cites Retracted Work;,1
2011,+Cites Retracted Work;+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Misconduct by Author;+Unreliable Data;,1
2011,+Cites Retracted Work;+Plagiarism of Article;+Removed;,1
2011,+Civil Proceedings;+Concerns/Issues About Data;+Contamination of Materials (General);+Unreliable Results;+Upgrade/Update of Prior Notice;,1
2011,+Civil Proceedings;+Notice - Limited or No Information;,1
2011,+Concerns/Issues About Authorship/Affiliation;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues About Results;+Lack of Approval from Author;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+False/Forged Authorship;+Investigation by Journal/Publisher;+Plagiarism of Article;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+False/Forged Authorship;+Investigation by Journal/Publisher;+Plagiarism of Text;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Copyright Claims;+Error in Text;+Lack of Approval from Author;+Lack of Approval from Company/Institution;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Lack of Approval from Author;,1
2011,+Concerns/Issues About Authorship/Affiliation;+Lack of Approval from Author;+Objections by Author(s);,1
2011,+Concerns/Issues About Data;+Concerns/Issues About Image;+Concerns/Issues About Results;,1
2011,+Concerns/Issues About Data;+Concerns/Issues About Results;,1
2011,+Concerns/Issues About Data;+Concerns/Issues About Results;+Contamination of Materials (General);+Upgrade/Update of Prior Notice;,1
2011,+Concerns/Issues About Data;+Investigation by Company/Institution;,1
2011,+Concerns/Issues About Image;+Concerns/Issues about Referencing/Attributions;+Updated to Retraction;,1
2011,+Concerns/Issues About Results;+Error in Methods;+Error in Results and/or Conclusions;,1
2011,+Concerns/Issues About Results;+Results Not Reproducible;,1
2011,+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Investigation by Journal/Publisher;+Plagiarism of Article;,1
2011,+Concerns/Issues about Referencing/Attributions;+Error in Analyses;+Error in Data;+Error in Methods;+Objections by Third Party;+Unreliable Results;,1
2011,+Copyright Claims;,1
2011,+Copyright Claims;+Duplication of Text;,1
2011,+Copyright Claims;+Notice - Limited or No Information;,1
2011,+Date of Retraction/Other Unknown;+Duplicate Publication through Error by Journal/Publisher;,1
2011,+Date of Retraction/Other Unknown;+Duplication of Article;,1
2011,+Date of Retraction/Other Unknown;+Duplication of Article;+Euphemisms for Duplication;,1
2011,+Date of Retraction/Other Unknown;+Duplication of Article;+Euphemisms for Duplication;+Removed;,1
2011,+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Plagiarism of Article;,1
2011,+Date of Retraction/Other Unknown;+Fake Peer Review;,1
2011,+Date of Retraction/Other Unknown;+Investigation by Company/Institution;+Plagiarism of Article;,1
2011,+Date of Retraction/Other Unknown;+Lack of Approval from Third Party;,1
2011,+Doing the Right Thing;+Duplication of Data;+Lack of Approval from Author;+Upgrade/Update of Prior Notice;,1
2011,+Doing the Right Thing;+Error in Analyses;+Error in Methods;+Results Not Reproducible;,1
2011,+Doing the Right Thing;+Error in Data;+Error in Materials;+Error in Results and/or Conclusions;,1
2011,+Duplicate Publication through Error by Journal/Publisher;+Removed;,1
2011,+Duplication of Article;+Duplication of Text;,1
2011,+Duplication of Article;+Euphemisms for Duplication;+Euphemisms for Plagiarism;+Plagiarism of Article;,1
2011,+Duplication of Article;+Euphemisms for Duplication;+Investigation by Company/Institution;,1
2011,+Duplication of Article;+False/Forged Authorship;,1
2011,+Duplication of Article;+Lack of Approval from Author;,1
2011,+Duplication of Article;+Publishing Ban;+Removed;,1
2011,+Duplication of Data;+Duplication of Text;+Euphemisms for Duplication;,1
2011,+Duplication of Data;+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by ORI;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Results Not Reproducible;,1
2011,+Duplication of Image;+Error in Image;+Investigation by Company/Institution;+Manipulation of Images;,1
2011,+Duplication of Image;+Euphemisms for Duplication;+Investigation by Company/Institution;+Investigation by Third Party;+Misconduct by Author;+Objections by Author(s);,1
2011,+Duplication of Image;+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Investigation by Third Party;+Objections by Author(s);,1
2011,+Duplication of Image;+Investigation by Company/Institution;+Investigation by Third Party;+Manipulation of Images;+Upgrade/Update of Prior Notice;,1
2011,+Duplication of Text;,1
2011,+Duplication of Text;+Euphemisms for Duplication;,1
2011,+Error in Analyses;,1
2011,+Error in Analyses;+Objections by Author(s);+Objections by Third Party;+Results Not Reproducible;+Unreliable Results;,1
2011,+Error in Analyses;+Results Not Reproducible;,1
2011,+Error in Cell Lines/Tissues;,1
2011,+Error in Data;,1
2011,+Error in Data;+Error in Image;+Error in Methods;+Unreliable Results;,1
2011,+Error in Data;+Euphemisms for Plagiarism;+Investigation by Company/Institution;,1
2011,+Error in Data;+False/Forged Authorship;,1
2011,+Error in Data;+Updated to Retraction;,1
2011,+Error in Image;+Falsification/Fabrication of Data;+Updated to Retraction;,1
2011,+Error in Image;+Investigation by Company/Institution;,1
2011,+Error in Image;+Investigation by Company/Institution;+Manipulation of Images;+Misconduct by Author;+Unreliable Image;,1
2011,+Error in Results and/or Conclusions;+Unreliable Results;,1
2011,+Error in Text;,1
2011,+Error in Text;+Updated to Retraction;,1
2011,+Ethical Violations by Author;+Euphemisms for Duplication;+Notice - Limited or No Information;,1
2011,+Ethical Violations by Author;+Informed/Patient Consent - None/Withdrawn;+Investigation by Company/Institution;+Lack of IRB/IACUC Approval;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2011,+Ethical Violations by Author;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2011,+Ethical Violations by Author;+Lack of Approval from Author;+Lack of Approval from Company/Institution;+Misconduct by Author;,1
2011,+Ethical Violations by Author;+Notice - Limited or No Information;+Plagiarism of Article;,1
2011,+Ethical Violations by Author;+Plagiarism of Article;,1
2011,+Euphemisms for Plagiarism;+Plagiarism of Article;+Upgrade/Update of Prior Notice;,1
2011,+False/Forged Authorship;,1
2011,+False/Forged Authorship;+Investigation by Company/Institution;+Investigation by Third Party;+Lack of IRB/IACUC Approval;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2011,+False/Forged Authorship;+Lack of Approval from Author;+Plagiarism of Article;,1
2011,+False/Forged Authorship;+Plagiarism of Article;,1
2011,+Falsification/Fabrication of Data;+Investigation by Third Party;+Objections by Author(s);+Unreliable Results;,1
2011,+Falsification/Fabrication of Image;+Investigation by Company/Institution;,1
2011,+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Manipulation of Images;,1
2011,+Falsification/Fabrication of Results;+Investigation by Journal/Publisher;,1
2011,+Falsification/Fabrication of Results;+Investigation by Journal/Publisher;+Objections by Author(s);,1
2011,+Investigation by Company/Institution;+Investigation by Third Party;+Manipulation of Images;,1
2011,+Investigation by Company/Institution;+Lack of IRB/IACUC Approval;,1
2011,+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Results Not Reproducible;,1
2011,+Lack of Approval from Author;,1
2011,+Lack of Approval from Author;+Miscommunication by Author;,1
2011,+Lack of Approval from Company/Institution;+Objections by Company/Institution;,1
2011,+Legal Reasons/Legal Threats;+Notice - Limited or No Information;+Objections by Third Party;,1
2011,+Manipulation of Images;,1
2011,+Notice - Lack of;+Removed;,1
2011,+Notice - Limited or No Information;+Objections by Author(s);,1
2011,+Notice - Limited or No Information;+Objections by Third Party;,1
2011,+Notice - Limited or No Information;+Temporary Removal;,1
2011,+Notice - Unable to Access via current resources;,1
2011,+Plagiarism of Article;+Plagiarism of Text;,1
2011,+Plagiarism of Article;+Results Not Reproducible;,1
2011,+Plagiarism of Data;+Plagiarism of Image;,1
2011,+Results Not Reproducible;+Unreliable Results;,1
2011,+Unreliable Data;,1
2011,+Unreliable Results;,1
2012,+Notice - Limited or No Information;,132
2012,+Concerns/Issues About Data;+Concerns/Issues about Referencing/Attributions;+Ethical Violations by Author;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Updated to Retraction;,34
2012,+Duplication of Article;,31
2012,+Ethical Violations by Author;+Fake Peer Review;+Investigation by Journal/Publisher;+Unreliable Results;,17
2012,+Notice - Limited or No Information;+Removed;,14
2012,+False/Forged Authorship;,11
2012,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Upgrade/Update of Prior Notice;,11
2012,+Duplication of Data;+Duplication of Text;+Concerns/Issues about Referencing/Attributions;,8
2012,+Euphemisms for Plagiarism;+Plagiarism of Article;,8
2012,+Euphemisms for Plagiarism;+Plagiarism of Text;,8
2012,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,8
2012,+Plagiarism of Article;,8
2012,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Upgrade/Update of Prior Notice;,7
2012,+Duplicate Publication through Error by Journal/Publisher;,6
2012,+Duplication of Article;+Euphemisms for Duplication;,6
2012,+Duplication of Text;,6
2012,+Error in Image;,6
2012,+Notice - Lack of;,6
2012,+Results Not Reproducible;+Unreliable Results;,6
2012,+Withdrawn (out of date);,6
2012,+Concerns/Issues About Data;+Concerns/Issues about Referencing/Attributions;+Ethical Violations by Author;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,5
